Name,Company,Position,LinkedIn 
Tomer Moshe,Upsolver,Chairman,https://www.linkedin.com/in/tomerb1
Boaz Peer,Qualcomm Ventures,Managing Director (Israel & Europe),https://www.linkedin.com/in/boaz-peer-1089352
Ercument Inanc,Mentor Effect,Executive Board Member,https://www.linkedin.com/in/ercument-inanc-886aab16
Amit Karp,Bessemer Venture Partners,Partner,https://www.linkedin.com/in/amitkarp
Alex Liverant,esh,CTO & Co-Founder,https://www.linkedin.com/in/alexliv
Michael Zimmer,VivenTec - Immersive Technology,"Co-Founder and CEO, Viven Tec Ltd. Immersive technology",https://www.linkedin.com/in/michael-miki-zimmer-4480b86
Turgut Gursoy,Lidya Ventures,Founder,https://www.linkedin.com/in/turgut-gursoy-86781217
Mike Netz,Forsight Robotics,Investor,https://www.linkedin.com/in/mike-netz-ba061b114
Ran Levy,HomeLend,Seed Investor (Lead),https://www.linkedin.com/in/ranlevy
Eran Bielski,Entrée Capital,General Partner,https://www.linkedin.com/in/eran-bielski-1baa2049
Vaibhav Adhlakha,Riseoo,Chief Executive Officer & Founder,https://www.linkedin.com/in/adhlakha
Itzik Levy,vcita,Co-founder and CEO,https://www.linkedin.com/in/levyitzik
Asaf B.,,Lawyer,https://www.linkedin.com/in/asaf-b-061bb08b
Simon Gelfand,Wikiz,Chief Technology Officer & Co-Founder,https://www.linkedin.com/in/webshark
Talor Sax,eHealthVentures,CEO,https://www.linkedin.com/in/talorsax
Lior Levinsky,RDC,Chief Financial Officer,https://www.linkedin.com/in/lior-levinsky-11a01b2
Shy Datika,INX,"Founder & CEO, President INX Digital assets listing & trading",https://www.linkedin.com/in/shy-datika-4a241
Khalid C.,HostSailor,Director,https://www.linkedin.com/in/khalid-c-46b879165
Shmil Levy,Venn City,Chairman,https://www.linkedin.com/in/shmil-levy-8697343
Raymond-Vaughan Carter,Independent Marine & Engineering Consultants Ltd.,Marine Engineer,https://www.linkedin.com/in/raymond-vaughan-carter-4abb075a
Alon Weinberg,Cisco,"Director, Leading Cisco Investments and M&A for Israel and LATAM",https://www.linkedin.com/in/alonweinberg
Jean-Pierre Mondalek,houza,Chief Executive Officer,https://www.linkedin.com/in/jpmondalek
Mehmet Celikol,Kavak,CEO Turkey,https://www.linkedin.com/in/mehmet-celikol-7460632
Ilhan Bagoren,Telenity,"Founder, CEO",https://www.linkedin.com/in/ilhan-bagoren-37a88
Mai Jaber,Imperial College London Diabetes Centre,Chief Executive Officer,https://www.linkedin.com/in/mai-al-jaber-2a251b24
Tahsin Isin,Endeavor Türkiye,Endeavor Entrepreneur,https://www.linkedin.com/in/isin26
Cobi Moise,MassChallenge Israel,Mentor,https://www.linkedin.com/in/cobi-moise-0a06832b
Oded Zucker,Total Protect,Head of Global Operations,https://www.linkedin.com/in/oded-zucker-2a141
Hakan Bas,Ace Games,Founder & CEO,https://www.linkedin.com/in/hakanbas
David Kalmanson,Reichman University,Lecturer,https://www.linkedin.com/in/davidkalmanson
Dori Harpaz,LayerX Security,Chief Marketing Officer,https://www.linkedin.com/in/doriharpaz
Dogan Taskent,Türkiye İlaç Sanayi Derneği,Board Member,https://www.linkedin.com/in/dogantaskent
Walid Aradi,Tahseen Consulting,CEO,https://www.linkedin.com/in/walidaradi
Cem Soysal,iNVENTRAM!,CEO,https://www.linkedin.com/in/alicemsoysal
Ofer Adler,Lexense,Investor,https://www.linkedin.com/in/oferadler
Joseph Malka,lunar.dev,"Advisory Board Member, Investor",https://www.linkedin.com/in/yossimalka
Baat Enosh,Nia Growth,"Co-founder, CEO",https://www.linkedin.com/in/baatenosh
Madhu Avalur,Angaros Group,Founder & Group CEO,https://www.linkedin.com/in/avalur
Orit Alperovitz,NEOME -Women Investing Club,Founder & CEO,https://www.linkedin.com/in/orit-alperovitz-4759b099
Varis Sayed,FINCASA VENTURES,Chief Executive Officer,https://www.linkedin.com/in/varis-sayed-4a239318
Guy Guzner,Savvy,CEO & Co-Founder,https://www.linkedin.com/in/guyguzner
Shai Morag,Ermetic,"SVP, General Manager Cloud Security",https://www.linkedin.com/in/moragshai
Itay Glick,OPSWAT,Vice President of Products,https://www.linkedin.com/in/itay-glick-6073a63
Ofir Azury,Gandyr Investments,Head of Technology Investments,https://www.linkedin.com/in/ofirazury
Ola Ghaib,,Manager - UN Partnership on Persons with Disabilities Fund at UNDP,https://www.linkedin.com/in/dr-ola-abu-al-ghaib-82378726
Toby Olshanetsky,prooV,Chief Executive Officer,https://www.linkedin.com/in/toby-olshanetsky-3519152
Zohar Rozenberg,Tripledot Studios,Chief Operating Officer,https://www.linkedin.com/in/zohar-rozenberg-0502221
Omer Erkmen,Yeni Nesil Kafası,Co-Founder,https://www.linkedin.com/in/omererkmen
Serkan Borancili,Getir,Co Founder & Investor,https://www.linkedin.com/in/serkan-borancili-ab626a4
Ersin Gencturk,Bithesap,Founder,https://www.linkedin.com/in/ersingencturk
Dodo Putzetten,Club degli Investitori,Business Angel,https://www.linkedin.com/in/dodo-von-putzetten-7aa007108
Ofer Shani,Tech Companies,Meditation Coach and MC,https://www.linkedin.com/in/ofershani
Marc Gaffan,Hysolate,CEO,https://www.linkedin.com/in/marc-gaffan
Firat Isbecer,Commencis,CEO,https://www.linkedin.com/in/firat-isbecer-080362
Manish Hiranandani,Hira Industries LLC,Managing Director,https://www.linkedin.com/in/manishhiradubai
Oren Harel,PlainID,CEO,https://www.linkedin.com/in/oren-ohayon-harel-2037276a
Semih Incedayi,Doğuş Teknoloji,CEO,https://www.linkedin.com/in/semihincedayi
Yuval Bar-Gil,Aidoc,Entrepreneur with broad experience in all aspects,https://www.linkedin.com/in/yuval-bar-gil-a3619
Mustafa Vardali,Teknasyon,Co-Founder,https://www.linkedin.com/in/mstfvrdl
Bengisu Tuerker,DorukNet,Account Manager,https://www.linkedin.com/in/bengisuturker
Yaron Segev,Iguazio,"iguazio COO, Chief Product Officer (co-founder)",https://www.linkedin.com/in/yaron-segev-48516a2
Orkun Tekin,Otelz.com,Co-Founder & CRO,https://www.linkedin.com/in/orkuntekin
Nitai Alush-Aben,SmartMirror,Investor,https://www.linkedin.com/in/nitai-alush-aben-015101
Amir Kfir,Amirror Group Organizational Development,Owner and CEO,https://www.linkedin.com/in/amir-kfir
Mustafa Alper,,"Management Consulting, Former Secretary general of YASED",https://www.linkedin.com/in/mustafa-alper-aa70351b
Eran Litvak,Solterra Renewable Energy,Company Owner,https://www.linkedin.com/in/eran-litvak-a5095a21
Eyal Gura,MAPS Israel,EIR,https://www.linkedin.com/in/eyalgura
Ahmet Kayhan,REIDIN - Data Analytics,Head of International - Dgpays Group | Board Member,https://www.linkedin.com/in/ahmetkayhan
Avi Smila,Lumen,Founder and CIO,https://www.linkedin.com/in/avismila
Ran Achituv,Entrée Capital,Managing Partner,https://www.linkedin.com/in/rachituv
Scott Tobin,Battery Ventures,Senior Partner,https://www.linkedin.com/in/tobinscott
Pramendra Garg,E20 Investment LTD.,Chief Investment Officer,https://www.linkedin.com/in/pramendragarg
Yigal Jacoby,DriveU.auto,Chairman Of The Board,https://www.linkedin.com/in/yigal-jacoby-8569235
Sagi Katz,Icebow Ltd.,Co-Founder,https://www.linkedin.com/in/sagikatz
David Ronen,Qualcomm,Director of Product Management,https://www.linkedin.com/in/davidronen
Doron Cohen,Tag'by,Managing Partner & CEO,https://www.linkedin.com/in/doroncohen
Dan Eblagon,Bono,Co-Founder,https://www.linkedin.com/in/daneblagon
Yigit Sagir,Kariyer Ve Gelişim Kulübü,Board Member,https://www.linkedin.com/in/yiğit-sağır-37a080151
Ervin Leibovici,Jibe Ventures,Crew Member,https://www.linkedin.com/in/ervin-leibovici-8493b
Mickey Boodaei,Transmit Security,CEO,https://www.linkedin.com/in/mickeyboodaei
Sasha Babitsky,Entoprotech LTD,CEO,https://www.linkedin.com/in/sashababitsky
Attila Koksal,Sabancı University,Instructor - Behavioral Finance for the EMBA and PMBA programs FIN 806/FIN 906,https://www.linkedin.com/in/attilakoksal
Erez Sobol,Cellotex,Business Development at Cellotex,https://www.linkedin.com/in/erezsobol
Raz Alon,Zivlin,Co-Owner,https://www.linkedin.com/in/razalon
Omry Czapnik,Lumen,Interim COO & CFO,https://www.linkedin.com/in/omry-czapnik-90a1684b
Can Serter,Wooshii,Investor,https://www.linkedin.com/in/cserter
Sundararajan P,Agratas,Chief Financial Officer - Global,https://www.linkedin.com/in/sundararajanp
Mehmet Goezuem,Mondi Group,İndependent Board Member,https://www.linkedin.com/in/mehmet-sait-gözüm-01212221
Tzvika Friedman,Mobilicom,Board Member,https://www.linkedin.com/in/tzvika-friedman-b48119
Omer Akarca,Agrovisio Official,Angel Investor,https://www.linkedin.com/in/omerakarca
Jose Valles,Sitecore,President EMEA,https://www.linkedin.com/in/joseavalles
Levent Kusgoz,Youcan Games Investment Company,Co-Founder & Investment Lead,https://www.linkedin.com/in/levent-kusgoz-78b97936
Boris Gorin,Zscaler,VP of Product Management,https://www.linkedin.com/in/borisgorin
Kaan Ozhelvaci,EGİAD,Vice President,https://www.linkedin.com/in/kaan-özhelvacı-b8b04875
Giora Kornblau,Rapid Medical,CTO,https://www.linkedin.com/in/giorakornblau
Izzet Zakuto,S,COO & Co-Founder,https://www.linkedin.com/in/izzet-zakuto-054b6b40
Demirhan Sener,Multinet,"Co-Founder, Board Member",https://www.linkedin.com/in/demirhansener
Ahmed Ansari,USAGov,Chief Operating and Future Foresight Officer,https://www.linkedin.com/in/ahmed-al-ansari-38078395
Yigit Satiroglu,Assembly Buildings,Co-Founder and Investor,https://www.linkedin.com/in/yigitsatiroglu
Duby Lachovitz,PLUS VENTURES,Co-Founder & CEO,https://www.linkedin.com/in/dubylach
Levent Hatay,Turfan Tarımsal Üretim ve Pazarlama A.Ş.,Chairman and Shareholder,https://www.linkedin.com/in/leventhatay
Amir Leitersdorf,JLL Technologies,General Manager of JLL Technologies Israel and Vice President Of Products,https://www.linkedin.com/in/leiters
Mehmet Okur,Sefamerve,Founder,https://www.linkedin.com/in/mehmet-metin-okur-1206b929
Miri Eisin,Women In International Security Israel,Board Member,https://www.linkedin.com/in/miri-eisin-a579ab43
Tzvi Kopetz,Selina,VP of Marketing,https://www.linkedin.com/in/tzvikopetz
