VC Firm name,Website,Contact,Global HQ,Countries of investment,Stage of investment
Convrtx,https://www.convrtx.com/,Vist website,"Toronto, Ontario M4B 1B3, CA","USA,Mexico,India,Pakistan,Colombia,Brazil,Afghanistan,Albania,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","2. Prototype,3. Early Revenue"
Dale Ventures,http://dale.com/,Vist website,"Dubai, Dubai, United Arab Emirates",UAE,3. Early Revenue
First Check Ventures,https://www.firstcheckventures.com/,Vist website,Mexico,"USA,Mexico,India,Pakistan,Colombia,Brazil,Afghanistan,Albania,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Barbados,Bangladesh,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Oman,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,Uganda,UK,Ukraine,UAE,Uruguay,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe",2. Prototype
GoAhead Ventures,https://www.goaheadvc.com/,Vist website,"535 Middlefield Ste 280 Road Menlo Park, CA 94025","USA,Japan,Israel,Singapore,India,Ukraine,Indonesia,UK,Germany,Sweden,Brazil,Hong Kong,China,UAE,Pakistan","1. Idea or Patent,2. Prototype,3. Early Revenue"
GPO Fund,https://www.gpofund.com/,Vist website,"420 Lexington Avenue, Suite 1402, New York, NY 10170 ","Brazil,Canada,Chile,Mexico,USA,Hong Kong,India,Indonesia,Japan,Philippines,Singapore,South Korea,Thailand,Austria,Belgium,Czech Republic,Denmark,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Italy,Luxembourg,Monaco,Netherlands,Norway,Portugal,Spain,Sweden,Switzerland,UK,Israel,Lebanon,Turkey,UAE,Australia,New Zealand","3. Early Revenue,4. Scaling"
GSV Ventures,https://gsv.ventures/,Vist website,"171 2nd St, San Francisco, California US","USA,India,Indonesia,Malaysia,Canada,Mexico,Brazil,South Africa,Egypt,Nigeria,Kenya,Argentina,Peru,Chile,UK,France,Germany,Spain,UAE,Jordan,Saudi Arabia",1. Idea or Patent
Hummingbird Ventures,https://www.hummingbird.vc/,Vist website,"London, United Kingdom","UK,India,Turkey,Belgium,Indonesia,Brazil,Mexico,Canada,USA,Netherlands,Nigeria,France,Singapore,Greece,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth"
IGC Fund,https://igcap.com/,Vist website,"Los Angeles, USA","USA,UAE,Canada","2. Prototype,3. Early Revenue,4. Scaling"
Mubadala Ventures,https://www.mubadala.com/en/what-we-do/capital/ventures,Vist website,"Abu Dhabi, Abu Dhabi, United Arab Emirates","USA,UAE","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling"
Outliers Venture Capital,https://www.outliers.vc/,Vist website,2443 Fillmore St #380-8875 San Francisco CA 94115 United States,"USA,Egypt,UAE,Saudi Arabia","2. Prototype,1. Idea or Patent,3. Early Revenue,4. Scaling"
Plug & Play Ventures,https://www.plugandplaytechcenter.com/ventures/,Vist website,"440 N. Wolfe Rd, Sunnyvale, CA 94085, US","Kenya,Nigeria,Brazil,Canada,Colombia,Mexico,USA,China,Hong Kong,India,Indonesia,Laos,Malaysia,Myanmar,Philippines,Singapore,South Korea,Taiwan,Thailand,Denmark,France,Germany,Ireland,Spain,Switzerland,Egypt,Israel,Morocco,UAE,Australia","2. Prototype,3. Early Revenue,1. Idea or Patent"
Spacecadet Ventures,https://spacecadet.ventures/,Vist website,USA,"USA,Canada,Mexico,Argentina,Colombia,India,UK,UAE,Germany,Australia,Brazil","3. Early Revenue,4. Scaling"
Teknasyon,https://teknasyon.com/en/investments/,Vist website,"Buyukdere Caddesi 245, Istanbul, Istanbul 34485, TR","Romania,Ukraine,Egypt,UAE,Bahrain,Estonia,Portugal,Turkey,Russia,Belarus,Poland,Czech Republic,Hungary","2. Prototype,3. Early Revenue,4. Scaling"
